Timestamp,Open_EUR,High_EUR,Low_EUR,Close_EUR,Volume
2026-04-20 00:00:00,141.976514,142.023711,141.510482,141.563569,4068
2026-04-20 01:00:00,131.391839,131.405529,130.107739,130.73747,7507
2026-04-20 02:00:00,130.55219,131.082665,130.273287,131.033451,5566
2026-04-20 03:00:00,131.00265,132.164505,130.95617,131.981337,8257
2026-04-20 04:00:00,131.970404,132.008675,131.579479,131.584939,3314
2026-04-20 11:00:00,133.303303,133.303303,131.254416,131.440177,25218
2026-04-20 12:00:00,131.386509,133.240559,131.329165,131.495732,2236
2026-04-20 13:00:00,131.526692,133.27193,131.269948,131.941828,5065
2026-04-20 14:00:00,131.985688,132.316283,131.657827,131.780775,9971
2026-04-20 15:00:00,131.664908,132.311814,131.558456,132.079799,8710
2026-04-20 16:00:00,132.110912,132.359367,131.37648,131.731411,12687
2026-04-20 17:00:00,131.61363,131.725441,131.256345,131.455436,7638
2026-04-20 18:00:00,131.452706,131.638174,131.253615,131.6109,4422
2026-04-20 19:00:00,131.634585,131.811883,131.582762,131.667322,4628
2026-04-20 20:00:00,131.712012,131.968471,131.712012,131.908442,2573
2026-04-20 21:00:00,131.843546,132.045343,131.707194,131.846262,2916
2026-04-20 22:00:00,131.836178,132.04614,131.776185,131.99978,1634
2026-04-21 00:00:00,132.022375,132.360444,131.986937,132.188687,0
2026-04-21 01:00:00,132.24092,132.344554,132.017272,132.069089,1559
2026-04-21 02:00:00,132.101019,132.324693,131.92099,132.117388,2616
2026-04-21 03:00:00,132.15399,132.167632,131.649253,131.772027,2917
2026-04-21 04:00:00,131.795739,131.79847,131.561074,131.683862,2293
2026-04-21 05:00:00,131.73588,131.754979,131.32644,131.465639,4134
2026-04-21 06:00:00,131.444716,131.458362,131.196349,131.215459,3739
2026-04-21 07:00:00,131.187245,131.402818,131.020809,131.053545,5806
2026-04-21 08:00:00,131.091692,131.806839,130.829648,130.933367,9271
2026-04-21 09:00:00,131.043089,131.458384,130.892819,131.278058,4053
2026-04-21 10:00:00,131.267132,131.477515,130.961124,131.280793,3860
2026-04-21 11:00:00,131.324395,131.417319,131.190474,131.256067,4138
2026-04-21 12:00:00,131.251567,131.440142,131.164125,131.421007,2112
