Timestamp,Open_EUR,High_EUR,Low_EUR,Close_EUR,Volume
2026-04-20 00:00:00,0.012176,0.0122,0.012162,0.012196,538
2026-04-20 01:00:00,0.011322,0.011338,0.011301,0.011335,895
2026-04-20 02:00:00,0.011321,0.011359,0.0113,0.011353,1667
2026-04-20 03:00:00,0.011352,0.01142,0.011343,0.0114,1481
2026-04-20 04:00:00,0.011401,0.011431,0.011394,0.011398,681
2026-04-20 11:00:00,0.011454,0.011454,0.011262,0.011288,7470
2026-04-20 12:00:00,0.011284,0.011449,0.011275,0.011276,574
2026-04-20 13:00:00,0.011281,0.011451,0.01126,0.011304,1746
2026-04-20 14:00:00,0.011309,0.011331,0.011283,0.011326,7148
2026-04-20 15:00:00,0.011316,0.011369,0.011311,0.011362,3097
2026-04-20 16:00:00,0.011363,0.011364,0.011314,0.011331,4304
2026-04-20 17:00:00,0.011321,0.01133,0.011298,0.01131,2584
2026-04-20 18:00:00,0.011309,0.011329,0.011298,0.011302,3338
2026-04-20 19:00:00,0.011306,0.011311,0.011279,0.011288,1289
2026-04-20 20:00:00,0.011291,0.011306,0.011287,0.011303,2820
2026-04-20 21:00:00,0.0113,0.01131,0.011298,0.011305,764
2026-04-20 22:00:00,0.011305,0.01131,0.011301,0.011304,328
2026-04-21 00:00:00,0.011311,0.011312,0.011298,0.011302,0
2026-04-21 01:00:00,0.011309,0.011312,0.011302,0.011303,185
2026-04-21 02:00:00,0.011304,0.011308,0.011279,0.011308,272
2026-04-21 03:00:00,0.01131,0.011317,0.011263,0.011279,690
2026-04-21 04:00:00,0.011278,0.011284,0.011255,0.01127,543
2026-04-21 05:00:00,0.011276,0.01128,0.011232,0.011251,625
2026-04-21 06:00:00,0.01125,0.01125,0.011244,0.011245,191
2026-04-21 07:00:00,0.011242,0.011299,0.01124,0.011259,666
2026-04-21 08:00:00,0.011262,0.011316,0.011244,0.011267,666
2026-04-21 09:00:00,0.011278,0.011322,0.011258,0.011305,1005
2026-04-21 10:00:00,0.0113,0.011318,0.011283,0.011308,1552
2026-04-21 11:00:00,0.011311,0.011318,0.011304,0.011314,442
2026-04-21 12:00:00,0.011312,0.011345,0.01131,0.01134,865
2026-04-21 13:00:00,0.011335,0.011342,0.011303,0.011341,1798
2026-04-21 14:00:00,0.01135,0.011362,0.011317,0.011325,1981
2026-04-21 15:00:00,0.011318,0.011376,0.011314,0.011356,3310
2026-04-21 16:00:00,0.011369,0.011384,0.011301,0.011312,2501
2026-04-21 17:00:00,0.011316,0.011344,0.011287,0.011294,4288
2026-04-21 18:00:00,0.011307,0.011316,0.011277,0.011278,5329
2026-04-21 19:00:00,0.011277,0.011277,0.011233,0.01125,4366
2026-04-21 20:00:00,0.011252,0.011275,0.011238,0.011266,685
2026-04-21 21:00:00,0.01128,0.01131,0.011216,0.011225,1724
2026-04-21 22:00:00,0.01121,0.011298,0.011207,0.011293,1252
2026-04-22 00:00:00,0.011295,0.01132,0.01128,0.01128,0
2026-04-22 01:00:00,0.011278,0.011295,0.011278,0.011287,130
2026-04-22 02:00:00,0.011287,0.011317,0.011287,0.011312,801
2026-04-22 03:00:00,0.011309,0.011337,0.011309,0.011317,540
2026-04-22 04:00:00,0.011323,0.011349,0.011317,0.011328,660
2026-04-22 05:00:00,0.011327,0.011357,0.011327,0.011345,314
2026-04-22 06:00:00,0.011345,0.011358,0.01134,0.011345,290
2026-04-22 07:00:00,0.011333,0.011372,0.011323,0.011358,1497
2026-04-22 08:00:00,0.011363,0.011378,0.011346,0.011366,889
2026-04-22 09:00:00,0.011359,0.011379,0.011348,0.011355,1026
2026-04-22 10:00:00,0.01136,0.011393,0.011359,0.011381,1472
2026-04-22 11:00:00,0.011386,0.011406,0.011383,0.011389,1055
2026-04-22 12:00:00,0.011386,0.011387,0.011366,0.011367,695
2026-04-22 13:00:00,0.011384,0.011385,0.011362,0.011371,733
2026-04-22 14:00:00,0.011379,0.011396,0.011366,0.01137,2187
2026-04-22 15:00:00,0.01136,0.011384,0.011352,0.011379,2513
2026-04-22 16:00:00,0.011401,0.011495,0.011397,0.011478,6421
2026-04-22 17:00:00,0.011486,0.011532,0.011482,0.011521,5688
2026-04-22 18:00:00,0.011522,0.011534,0.011515,0.011534,4148
